linea,estacion,prediccion_afluencia
LINEA 1,BALBUENA,MEDIA
LINEA 1,BALDERAS,MEDIA
LINEA 1,BOULEVARD PUERTO AAREO,ALTA
LINEA 1,CANDELARIA,MEDIA
LINEA 1,CHAPULTEPEC,ALTA
LINEA 1,CUAUHTAMOC,ALTA
LINEA 1,GA3MEZ FARAAS,ALTA
LINEA 1,GA3MEZ FARIAS,BAJA
LINEA 1,INSURGENTES,ALTA
LINEA 1,ISABEL LA CATA3LICA,ALTA
LINEA 1,JUANACATLAN,BAJA
LINEA 1,MERCED,ALTA
LINEA 1,MOCTEZUMA,ALTA
LINEA 1,OBSERVATORIO,ALTA
LINEA 1,PANTITLAN,ALTA
LINEA 1,PINO SUAREZ,ALTA
LINEA 1,SALTO DEL AGUA,ALTA
LINEA 1,SAN LAZARO,ALTA
LINEA 1,SEVILLA,ALTA
LINEA 1,TACUBAYA,ALTA
LINEA 1,ZARAGOZA,ALTA
LINEA 12,ATLALILCO,BAJA
LINEA 12,CALLE 11,BAJA
LINEA 12,CULHUACAN,BAJA
LINEA 12,EJE CENTRAL,BAJA
LINEA 12,ERMITA,BAJA
LINEA 12,HOSPITAL 20 DE NOVIEMBRE,BAJA
LINEA 12,INSURGENTES SUR,BAJA
LINEA 12,LOMAS ESTRELLA,BAJA
LINEA 12,MEXICALTZINGO,BAJA
LINEA 12,MIXCOAC,BAJA
LINEA 12,NOPALERA,BAJA
LINEA 12,OLIVOS,BAJA
LINEA 12,PARQUE DE LOS VENADOS,BAJA
LINEA 12,PERIFARICO ORIENTE,BAJA
LINEA 12,SAN ANDRAS TOMATLAN,BAJA
LINEA 12,TEZONCO,BAJA
LINEA 12,TLAHUAC,BAJA
LINEA 12,TLALTENCO,BAJA
LINEA 12,ZAPATA,BAJA
LINEA 12,ZAPOTITLAN,BAJA
LINEA 2,ALLENDE,ALTA
LINEA 2,BELLAS ARTES,ALTA
LINEA 2,CHABACANO,ALTA
LINEA 2,COLEGIO MILITAR,ALTA
LINEA 2,CUATRO CAMINOS,ALTA
LINEA 2,CUITLAHUAC,MEDIA
LINEA 2,ERMITA,MEDIA
LINEA 2,GENERAL ANAYA,ALTA
LINEA 2,HIDALGO,ALTA
LINEA 2,NATIVITAS,ALTA
LINEA 2,NORMAL,ALTA
LINEA 2,PANTEONES,BAJA
LINEA 2,PINO SUAREZ,MEDIA
LINEA 2,POPOTLA,BAJA
LINEA 2,PORTALES,MEDIA
LINEA 2,REVOLUCIA3N,ALTA
LINEA 2,SAN ANTONIO ABAD,ALTA
LINEA 2,SAN COSME,ALTA
LINEA 2,TACUBA,ALTA
LINEA 2,TASQUEAA,ALTA
LINEA 2,VIADUCTO,ALTA
LINEA 2,VILLA DE CORTAS,MEDIA
LINEA 2,VILLA DE CORTES,BAJA
LINEA 2,XOLA,MEDIA
LINEA 2,ZA3CALO/TENOCHTITLAN,ALTA
LINEA 3,BALDERAS,BAJA
LINEA 3,CENTRO MADICO,ALTA
LINEA 3,COPILCO,ALTA
LINEA 3,COYOACAN,ALTA
LINEA 3,DEPORTIVO 18 DE MARZO,ALTA
LINEA 3,DIVISIA3N DEL NORTE,ALTA
LINEA 3,ETIOPAA/PLAZA DE LA TRANSPARENCIA,ALTA
LINEA 3,EUGENIA,ALTA
LINEA 3,GUERRERO,MEDIA
LINEA 3,HIDALGO,MEDIA
LINEA 3,HOSPITAL GENERAL,ALTA
LINEA 3,INDIOS VERDES,ALTA
LINEA 3,JUAREZ,ALTA
LINEA 3,LA RAZA,ALTA
LINEA 3,MIGUEL ANGEL DE QUEVEDO,ALTA
LINEA 3,NIAOS HAROES,ALTA
LINEA 3,POTRERO,ALTA
LINEA 3,TLATELOLCO,ALTA
LINEA 3,UNIVERSIDAD,ALTA
LINEA 3,VIVEROS/DERECHOS HUMANOS,ALTA
LINEA 3,ZAPATA,ALTA
LINEA 4,BONDOJITO,BAJA
LINEA 4,CANAL DEL NORTE,MEDIA
LINEA 4,CANDELARIA,BAJA
LINEA 4,CONSULADO,BAJA
LINEA 4,FRAY SERVANDO,BAJA
LINEA 4,JAMAICA,BAJA
LINEA 4,MARTAN CARRERA,MEDIA
LINEA 4,MORELOS,BAJA
LINEA 4,SANTA ANITA,BAJA
LINEA 4,TALISMAN,BAJA
LINEA 5,ARAGA3N,BAJA
LINEA 5,AUTOBUSES DEL NORTE,ALTA
LINEA 5,CONSULADO,BAJA
LINEA 5,EDUARDO MOLINA,BAJA
LINEA 5,HANGARES,BAJA
LINEA 5,INSTITUTO DEL PETRA3LEO,BAJA
LINEA 5,LA RAZA,MEDIA
LINEA 5,MISTERIOS,MEDIA
LINEA 5,OCEANAA,BAJA
LINEA 5,PANTITLAN,ALTA
LINEA 5,POLITACNICO,ALTA
LINEA 5,TERMINAL AAREA,MEDIA
LINEA 5,VALLE GA3MEZ,BAJA
LINEA 6,DEPORTIVO 18 DE MARZO,BAJA
LINEA 6,EL ROSARIO,MEDIA
LINEA 6,FERRERAA/ARENA CIUDAD DE MAXICO,MEDIA
LINEA 6,INSTITUTO DEL PETRA3LEO,BAJA
LINEA 6,LA VILLA/BASALICA,MEDIA
LINEA 6,LINDAVISTA,MEDIA
LINEA 6,MARTAN CARRERA,ALTA
LINEA 6,NORTE 45,BAJA
LINEA 6,TEZOZA3MOC,BAJA
LINEA 6,UAMAZCAPOTZALCO,BAJA
LINEA 6,VALLEJO,BAJA
LINEA 7,AQUILES SERDAN,MEDIA
LINEA 7,AUDITORIO,MEDIA
LINEA 7,BARRANCA DEL MUERTO,ALTA
LINEA 7,CAMARONES,MEDIA
LINEA 7,CONSTITUYENTES,BAJA
LINEA 7,EL ROSARIO,ALTA
LINEA 7,MIXCOAC,ALTA
LINEA 7,POLANCO,ALTA
LINEA 7,REFINERAA,BAJA
LINEA 7,SAN ANTONIO,MEDIA
LINEA 7,SAN JOAQUAN,MEDIA
LINEA 7,SAN PEDRO DE LOS PINOS,MEDIA
LINEA 7,TACUBA,BAJA
LINEA 7,TACUBAYA,BAJA
LINEA 8,ACULCO,MEDIA
LINEA 8,APATLACO,MEDIA
LINEA 8,ATLALILCO,MEDIA
LINEA 8,BELLAS ARTES,ALTA
LINEA 8,CERRO DE LA ESTRELLA,MEDIA
LINEA 8,CHABACANO,BAJA
LINEA 8,CONSTITUCIA3N DE 1917,ALTA
LINEA 8,COYUYA,ALTA
LINEA 8,DOCTORES,MEDIA
LINEA 8,ESCUADRA3N 201,ALTA
LINEA 8,GARIBALDI/LAGUNILLA,ALTA
LINEA 8,IZTACALCO,ALTA
LINEA 8,IZTAPALAPA,MEDIA
LINEA 8,LA VIGA,BAJA
LINEA 8,OBRERA,MEDIA
LINEA 8,SALTO DEL AGUA,MEDIA
LINEA 8,SAN JUAN DE LETRAN,ALTA
LINEA 8,SANTA ANITA,BAJA
LINEA 8,UAMI,ALTA
LINEA 9,CENTRO MADICO,BAJA
LINEA 9,CHABACANO,MEDIA
LINEA 9,CHILPANCINGO,ALTA
LINEA 9,CIUDAD DEPORTIVA,BAJA
LINEA 9,JAMAICA,MEDIA
LINEA 9,LAZARO CARDENAS,MEDIA
LINEA 9,MIXIUHCA,ALTA
LINEA 9,PANTITLAN,ALTA
LINEA 9,PATRIOTISMO,BAJA
LINEA 9,PUEBLA,ALTA
LINEA 9,TACUBAYA,ALTA
LINEA 9,VELA3DROMO,MEDIA
LINEA A,ACATITLA,MEDIA
LINEA A,AGRACOLA ORIENTAL,MEDIA
LINEA A,CANAL DE SAN JUAN,MEDIA
LINEA A,GUELATAO,ALTA
LINEA A,LA PAZ,ALTA
LINEA A,LOS REYES,ALTA
LINEA A,PANTITLAN,ALTA
LINEA A,PEAA3N VIEJO,MEDIA
LINEA A,SANTA MARTA,ALTA
LINEA A,TEPALCATES,MEDIA
LINEA B,BOSQUE DE ARAGA3N,BAJA
LINEA B,BUENAVISTA,ALTA
LINEA B,CIUDAD AZTECA,ALTA
LINEA B,DEPORTIVO OCEANAA,MEDIA
LINEA B,ECATEPEC,ALTA
LINEA B,GARIBALDI/LAGUNILLA,BAJA
LINEA B,GUERRERO,BAJA
LINEA B,IMPULSORA,ALTA
LINEA B,LAGUNILLA,ALTA
LINEA B,MAOZQUIZ,ALTA
LINEA B,MORELOS,BAJA
LINEA B,NEZAHUALCA3YOTL,MEDIA
LINEA B,OCEANAA,MEDIA
LINEA B,OLAMPICA,MEDIA
LINEA B,OLIMPICA,MEDIA
LINEA B,PLAZA ARAGA3N,ALTA
LINEA B,RAO DE LOS REMEDIOS,ALTA
LINEA B,RICARDO FLORES MAGA3N,BAJA
LINEA B,ROMERO RUBIO,MEDIA
LINEA B,SAN LAZARO,MEDIA
LINEA B,TEPITO,ALTA
LINEA B,VILLA DE ARAGA3N,MEDIA
