linea,estacion,afluencia,cluster
LINEA 1,BALBUENA,11606.782808510638,0
LINEA 1,BALDERAS,18588.49021276596,2
LINEA 1,BOULEVARD PUERTO AAAREO,22931.56425531915,2
LINEA 1,CANDELARIA,20151.288,2
LINEA 1,CHAPULTEPEC,43010.57582978723,2
LINEA 1,CUAUHTAAMOC,17022.4965106383,0
LINEA 1,GAA3MEZ FARAAAS,32496.320881812615,2
LINEA 1,GAA3MEZ FARIAS,14659.554303278688,0
LINEA 1,INSURGENTES,42840.01923404256,2
LINEA 1,ISABEL LA CATAA3LICA,18019.697531914895,2
LINEA 1,JUANACATLAAN,9358.20595744681,0
LINEA 1,MERCED,40157.45429787234,2
LINEA 1,MOCTEZUMA,21164.828425531916,2
LINEA 1,OBSERVATORIO,53648.33685106383,1
LINEA 1,PANTITLAAN,36445.971063829784,2
LINEA 1,PINO SUAAREZ,27154.078978723403,2
LINEA 1,SALTO DEL AGUA,17599.850212765956,2
LINEA 1,SAN LAAZARO,24218.434553191488,2
LINEA 1,SEVILLA,24191.702468085106,2
LINEA 1,TACUBAYA,27470.94229787234,2
LINEA 1,ZARAGOZA,40277.409021276595,2
LINEA 12,ATLALILCO,11943.866893617022,0
LINEA 12,CALLE 11,6833.554382978723,0
LINEA 12,CULHUACAAN,7332.505191489362,0
LINEA 12,EJE CENTRAL,6116.36085106383,0
LINEA 12,ERMITA,5891.558638297873,0
LINEA 12,HOSPITAL 20 DE NOVIEMBRE,6961.0,0
LINEA 12,INSURGENTES SUR,19032.449872340425,2
LINEA 12,LOMAS ESTRELLA,5208.393191489362,0
LINEA 12,MEXICALTZINGO,10095.593531914894,0
LINEA 12,MIXCOAC,8819.170723404255,0
LINEA 12,NOPALERA,9619.40170212766,0
LINEA 12,OLIVOS,7791.831659574468,0
LINEA 12,PARQUE DE LOS VENADOS,6322.07114893617,0
LINEA 12,PERIFAARICO ORIENTE,15884.634723404255,0
LINEA 12,SAN ANDRAAS TOMATLAAN,5284.832851063829,0
LINEA 12,TEZONCO,10155.860595744682,0
LINEA 12,TLAAHUAC,23782.42655319149,2
LINEA 12,TLALTENCO,1610.844085106383,0
LINEA 12,ZAPATA,8086.155234042553,0
LINEA 12,ZAPOTITLAAN,6119.337872340426,0
LINEA 2,ALLENDE,27935.15285106383,2
LINEA 2,BELLAS ARTES,25124.468425531915,2
LINEA 2,CHABACANO,24923.94655319149,2
